,Al2O3,CaO,SiO2,Density,GPa,MV,nc
0,8.0,32.0,60.0,2.708,92.9,22.95097716395864,3.084507042253521
1,13.3,26.7,60.0,2.628,91.6,24.574980685312028,3.309769923307769
2,20.0,20.0,60.0,2.602,93.3,26.002004381245197,3.5625
3,22.6,17.4,60.0,2.606,98.0,26.41986776745971,3.6205003050640636
5,6.01088,32.78739,61.20173,2.728,90.1,22.46580571941994,3.122861430725677
6,12.54742,34.22105,53.23153,2.763,93.3,23.15113915016772,3.2226438533059385
7,19.68174,35.78582,44.53244,2.76,98.8,24.236071545485437,3.3228190731711376
8,27.49975,37.50054,34.99971,2.805,103.0,24.989953600680035,3.2948717948717947
10,24.0,36.0,40.0,2.786,105.0,24.655900387652547,2.7210884353741496
11,10.0,30.0,60.0,2.67,86.2,23.62131374531835,2.7946127946127945
12,30.0,66.0,4.0,2.95,99.9,23.72954681355932,2.8666666666666667
13,30.0,63.0,7.0,2.96,100.0,23.689980777027024,2.8133333333333335
14,30.0,60.0,10.0,2.96,101.0,23.73058212837838,3.3125
15,32.0,64.0,4.0,2.96,99.9,23.959400216216217,2.8666666666666667
16,30.0,40.0,30.0,2.84,103.0,25.015395457746482,2.9570143285571477
17,30.0,60.0,10.0,2.93,106.0,23.97355737201365,3.1482649842271293
18,26.7,53.3,20.0,3.011,98.0,22.958811544005318,2.9096365455151716
19,34.0,51.0,15.0,2.991,107.0,24.165211026412567,2.8331071913161465
20,28.3,56.7,15.0,2.974,110.0,23.42394444889038,2.8666666666666667
21,26.6,58.4,15.0,2.972,106.0,23.17725386339166,2.823725424858381
22,30.0,60.0,10.0,3.043,112.0,23.083313539270456,3.1724137931034484
23,31.7,63.3,5.0,3.011,99.8,23.521167522085687,3.076682316118936
24,10.0,30.0,60.0,2.7,89.4,23.358854703703702,3.090909090909091
25,39.0,58.5,2.5,2.884,116.0,25.68361651525659,3.1051805337519625
26,38.0,57.0,5.0,2.891,111.0,25.497360518851604,3.119496855345912
27,37.0,55.5,7.5,2.891,111.0,25.373292455897616,3.133858267716535
28,36.0,54.0,10.0,2.871,109.0,25.425115889933824,3.1482649842271293
29,35.0,52.5,12.5,2.872,106.0,25.291374286211706,3.1627172195892577
30,34.0,51.0,15.0,2.856,116.0,25.30747415266106,3.1772151898734178
31,33.0,49.5,17.5,2.87,104.0,25.059047181184663,3.1724137931034484
32,32.0,48.0,20.0,2.87,105.0,24.93407130313589,3.0134251290877794
33,10.0,30.0,60.0,2.7,89.0,23.358854703703702,3.5287618077901666
34,16.2,41.9,41.9,2.84,98.0,22.953722702112675,
35,25.04763,25.52352,49.42885,2.699,97.5,25.76870807357359,
